Chord,Notes
E-major pentatonic,A4 D4 E4 G4 B4
F-dominant seventh,A4 C4 E-4 F4
F#-diminished seventh,A4 C4 E-4 F#4
F#-half-diminished seventh,A4 C4 E4 F#4
F#-Kumoi pentachord,A4 C4 E4 F#4 B4
F-major-second major tetrachord,A4 C4 F4 G4
A-half-diminished seventh,A4 C4 E-4 G4
A-major pentatonic,A4 C4 E4 G4 D4
A-diminished-major ninth,A4 C4 E-4 G4 B-4
A-perfect-fourth minor tetrachord,A4 C4 D4 E4
A-major-second minor tetrachord,A4 C4 E4 B4
A-minor-augmented tetrachord,A4 C4 E4 G#4
A-enigmatic pentachord,A4 C4 E4 G#4 D4
A-quartal trichord,A4 B4 E4
D-quartal trichord,A4 D4 E4
B-quartal tetramirror,A4 D4 E4 B4
F#-quartal tetramirror,B4 E4 F#4 A4
F#-major pentatonic,B4 E4 F#4 A4 C#4
G-dominant seventh,B4 D4 F4 G4
G#-diminished seventh,B4 D4 F4 G#4
G#-half-diminished seventh,B4 D4 F#4 G#4
G#-Kumoi pentachord,B4 D4 F#4 G#4 C#4
G-major-second major tetrachord,B4 D4 G4 A4
B-minor seventh,B4 D4 F#4 A4
B-major pentatonic,B4 D4 F#4 A4 E4
B-minor-ninth,B4 D4 F#4 A4 C#4
B-perfect-fourth minor tetrachord,B4 D4 E4 F#4
B-major-second minor tetrachord,B4 D4 F#4 C#4
B-minor-augmented tetrachord,B4 D4 F#4 B-4
B-enigmatic pentachord,B4 D4 F#4 B-4 E4
B-quartal trichord,B4 C#4 F#4
E-quartal trichord,B4 E4 F#4
C#-quartal tetramirror,B4 E4 F#4 C#4
enharmonic equivalent to minor above Eb,E-4 F#4 B-4
C-major,G3 C4 E3 C2
Eb-major,E-4 G4 B-4
enharmonic equivalent to major above C#,F3 C#4 G#3 C#2
enharmonic equivalent to diminished above Bb,B-4 C#4 E4
Eb-major,G3 E-4 B-3 E-2
Bb-major,B-4 D4 F4
F-major,F3 C4 A3 F2
enharmonic equivalent to major above G#,E-3 G#3 C4 G#2
enharmonic equivalent to major above C#,C#4 F4 G#4
E-minor,E4 G4 B3
enharmonic equivalent to major above G#,G#4 C4 E-4
enharmonic equivalent to major above C#,G#3 C#4 F3 C#2
C-major,C3 E3 G3 C2
enharmonic equivalent to major above G#,C4 G#3 E-3 G#2
C-major,C4 E4 G3
F#-incomplete half-diminished seventh,C4 E4 F#3
F-major,C3 F3 A3 F2
G-quartal trichord,G4 D4 A3
A-minor,A3 C4 E4 A2
A-minor,E3 C4 A3 A2
F-quartal trichord,C3 F3 G3 C2
D-major,D4 F#4 A4
E-minor seventh,G4 B3 E4 D4
D-major seventh,D4 F#4 A4 C#4
F-major,A3 C4 F3 F2
F-major,C4 F4 A3 F2
enharmonic equivalent to major above G#,E-4 C4 G#3 G#2
Bb-major,F3 B-3 D4 B-2
D-minor,F3 D4 A3 D2
G-major,D3 G3 B3 G2
C-quartal trichord,C4 D3 G3
Bb-major,D4 F4 B-3 B-2
G-major,G4 B3 D4
A-minor,C4 A3 E3 A2
B-diminished,F3 D4 B3 B2
A-minor,E4 C4 A3 A2
G-major,D4 G4 B3 G2
G-major,G3 B3 D4 G2
Bb-major,D3 F3 B-3 B-2
D-minor,A3 D4 F3 D2
E-minor,E4 G3 B3
F-major,A3 C4 F4 F2
A-minor,C4 E4 A3 A2
F-major,F3 A3 C4 F2
F-major,C4 F3 A3 F2
Perfect Fifth with octave doublings above C,C4 G4
E-minor,G4 E4 B3 E2
Perfect Fifth with octave doublings above D,D4 A4
F#-minor,A3 C#4 F#3 F#2
Perfect Fourth with octave doublings above F,F4 C4
A-minor,C4 E3 A3 A2
Perfect Fourth with octave doublings above G,G4 D4
B-minor,D4 F#3 B3 B2
G-dominant seventh,G4 B3 D4 F4
A-major-second major tetrachord,A4 C#4 E4 B4
F-major seventh,A3 E4 C4 F4 F2
Bb-major seventh,D4 F4 A4 B-3 B-2
A-minor,C3 E3 A3 A2
G-major-second major tetrachord,D4 A3 G4 B3 G2
C-major seventh,G3 C4 E3 B3 C2
C-major seventh,C3 E3 G3 B3 C2
E-major,E4 G#4 B4
G-major,B3 D4 G3 G2
D-quartal trichord,D3 E3 A3 A2
A-major,A4 C#4 E4
C-major,E3 C4 G3 C2
G-dominant seventh,D4 F4 G3 B3 G2
E-minor seventh,D4 E3 G3 B3 E2
D-minor seventh,A3 C4 D4 F4 D2
G-dominant seventh,D4 F3 G3 B3 G2
C-major,C4 G3 E4
A-minor seventh,C4 E4 A3 G4 A2
D-quartal trichord,E3 D4 A3 A2
A-minor,A3 C4 E3 A2
E-minor,E3 G3 B3 E2
F-major,F4 A3 C4
C-major,C4 E3 G3
C-major,G3 C4 E4 C2
enharmonic equivalent to major above G#,C4 E-4 G#3 G#2
D-minor,D4 F4 A3
G-major,B3 D4 G4 G2
F#-diminished,A3 C4 F#4 F#2
enharmonic equivalent to minor above Eb,E-4 F#4 B-3
G-dominant seventh,G4 D4 F4 B3
Eb-major,E-4 G4 B-3
enharmonic equivalent to major above C#,C#3 F3 G#3 C#2
enharmonic equivalent to major above C#,C#4 F4 G#3
enharmonic equivalent to diminished above Bb,B-3 C#4 E4 B-2
enharmonic equivalent to diminished above Bb,C#4 E4 B-3 B-2
Bb-major,B-3 D4 F4 B-2
enharmonic equivalent to major above G#,E-3 C4 G#3 G#2
enharmonic equivalent to major above G#,C3 E-3 G#3 G#2
enharmonic equivalent to major above G#,G#3 C4 E-4 G#2
F-major,F4 C4 A3
G-major,G4 D4 B3
F-quartal trichord,C4 F3 G3
F-quartal trichord,C4 F4 G3
D-major,D4 F#4 A3
E-minor seventh,G4 E4 B3 D4
E-minor seventh,G4 D4 E4 B3
D-major seventh,D4 F#4 A3 C#4
D-major seventh,D4 F#4 C#4 A3
D-minor,D3 F3 A3 D2
C-quartal trichord,C3 D3 G3 C2
C-quartal trichord,C4 D4 G3
Bb-major,D4 B-3 F3 B-2
B-diminished,D3 F3 B3 B2
B-diminished,B3 D4 F4 B2
Perfect Fourth with octave doublings above C,C4 G3
Perfect Fourth with octave doublings above D,D4 A3
F#-minor,F#4 A4 C#4
F#-minor,F#4 A3 C#4
F#-minor,F#4 C#4 A3
Perfect Fifth with octave doublings above F,F3 C4 F2
Perfect Fifth with octave doublings above F,C4 F3 F2
A-minor,C4 A3 E4 A2
Perfect Fifth with octave doublings above G,G3 D4 G2
Perfect Fifth with octave doublings above G,D4 G3 G2
B-minor,D4 B3 F#4 B2
B-minor,D4 F#4 B3 B2
C-major seventh,C4 E4 G4 B3
G-dominant seventh,G3 B3 D4 F4 G2
G-dominant seventh,D3 F3 G3 B3 G2
A-major-second major tetrachord,B3 C#4 A3 E4 A2
A-major-second major tetrachord,C#4 E3 A3 B3 A2
A-major-second major tetrachord,C#3 E3 A3 B3 A2
F-major seventh,F4 C4 E4 A3
Bb-major seventh,D4 F4 B-3 A4 B-2
D-minor seventh,D4 F4 A3 C4
D-minor seventh,D4 F4 C4 A3
G-major-second major tetrachord,D3 G3 B3 A3 G2
G-major-second major tetrachord,G4 B3 D4 A4
G-major-second major tetrachord,G4 D4 A4 B3
E-major,E4 G#4 B3
D-quartal trichord,D4 A3 E3 A2
D-quartal trichord,A3 D4 E4 A2
A-major,E3 C#4 A3 A2
A-major,C#3 E3 A3 A2
A-major,A3 C#4 E4 A2
E-minor seventh,G3 D4 E4 B3 E2
E-minor seventh,E3 D4 G3 B3 E2
E-minor seventh,D3 E3 G3 B3 E2
A-minor seventh,E4 G4 C4 A3 A2
A-minor seventh,C4 E4 G4 A3 A2
D-minor seventh,C4 D4 F3 A3 D2
D-minor seventh,D3 C4 F3 A3 D2
D-minor seventh,C3 D3 F3 A3 D2
C-major,E3 G3 C4 C2
D-minor,D4 F3 A3
B-diminished,D4 F4 B3 B2
G-major,D4 G3 B3 G2
F#-diminished,C4 F#3 A3 F#2
F#-diminished,C3 F#3 A3 F#2
F#-diminished,F#4 A4 C4
F#-diminished,F#4 A3 C4
G-minor,G4 B-4 D4
enharmonic equivalent to major above F#,F#4 B-4 C#4
E-minor seventh,D4 E4 G3 B3 E2
Perfect Fourth with octave doublings above B,B4 F#4
E-minor,B3 E4 G4 E2
E-minor seventh,E4 G4 B3 D4
E-minor,B3 E4 G3 E2
B-minor,B4 D4 F#4
E-minor,G3 E4 B3 E2
A-minor,E3 A3 C4 A2
E-diminished,E4 G3 B-3
enharmonic equivalent to minor above G#,G#4 B4 E-4
D-major pentatonic,A3 C4 F4 D4 G3 F2
C-major seventh,C4 E3 G3 B3
E-minor,G3 B3 E4 E2
E-major,E4 G#3 B3
C-major seventh,C4 E4 G3 B3
E-minor seventh,E3 G3 B3 D4 G2
A-minor seventh,A3 C4 E4 G4 A2
G-quartal trichord,G4 A3 D4 D2
E-minor seventh,G4 D4 E4 B3 E2
D-quartal trichord,D4 E3 A3 A2
E-major,B3 E4 G#3 E2
A-quartal trichord,E3 A3 B3 E2
D-minor,F3 A3 D4 D2
B-minor,B3 D4 F#3 B2
E-diminished,E4 G4 B-4
E-diminished,E4 G4 B-3
enharmonic equivalent to minor above F,F4 C4 G#3
G-minor,G4 B-3 D4
G-minor,G4 D4 B-3
enharmonic equivalent to major above F#,F#4 B-3 C#4
enharmonic equivalent to major above F#,F#4 C#4 B-3
Perfect Fifth with octave doublings above B,B3 F#4 B2
Perfect Fifth with octave doublings above B,F#4 B3 B2
E-minor seventh,E4 G4 D4 B3
B-minor,B3 D4 F#4 B2
E-diminished,E3 G3 B-3 E2
enharmonic equivalent to minor above G#,G#4 B3 E-4
enharmonic equivalent to minor above G#,G#4 E-4 B3
enharmonic equivalent to diminished above Bb,E3 C#4 B-3 B-2
enharmonic equivalent to diminished above Bb,C#3 E3 B-3 B-2
D-major pentatonic,C4 D4 F3 A3 G3 F2
D-major pentatonic,C4 D3 F3 G3 A3 F2
D-major pentatonic,C3 D3 F3 G3 A3 F2
C-major seventh,C4 G3 E4 B3
E-major,E3 G#3 B3 E2
D-major,D4 F#3 A3
D-major,D3 F#3 A3 D2
G-quartal trichord,G3 D4 A3 D2
G-quartal trichord,D3 G3 A3 D2
G-quartal trichord,D4 G4 A3
B-minor seventh,B3 D4 F#4 A4 B2
B-minor seventh,D4 F#4 A4 B3 B2
A-quartal trichord,E4 A4 B3
enharmonic equivalent to minor above F,F4 G#4 C4
enharmonic equivalent to minor above Bb,B-4 C#4 F4
enharmonic equivalent to diminished above C,C4 E-4 F#4
enharmonic equivalent to major seventh above C#,C#4 F4 G#4 C4
enharmonic equivalent to major-ninth above C#,C#4 F4 G#4 C4 E-4
enharmonic equivalent to minor seventh above Eb,E-4 F#4 B-4 C#4
enharmonic equivalent to minor-ninth above Eb,E-4 F#4 B-4 C#4 F4
enharmonic equivalent to minor seventh above F,F4 G#4 C4 E-4
enharmonic equivalent to minor-ninth above F,F4 G#4 C4 E-4 G4
enharmonic equivalent to major seventh above F#,F#4 B-4 C#4 F4
enharmonic equivalent to major-ninth above F#,F#4 B-4 C#4 F4 G#4
enharmonic to dominant seventh above G#,G#4 C4 E-4 F#4
enharmonic equivalent to dominant-ninth above G#,G#4 C4 E-4 F#4 B-4
enharmonic equivalent to minor seventh above Bb,B-4 C#4 F4 G#4
enharmonic equivalent to minor-ninth above Bb,B-4 C#4 F4 G#4 C4
enharmonic equivalent to half-diminished seventh above C,C4 E-4 F#4 B-4
C-diminished-major ninth,C4 E-4 F#4 B-4 C#4
C#-major-second major tetrachord,C#4 F4 G#4 E-4
enharmonic equivalent to minor seventh above C#,C#4 F4 G#4 B-4
C#-major pentatonic,C#4 F4 G#4 B-4 E-4
G#-augmented-sixth pentachord,C#4 F4 G#4 B4 G4
F-augmented seventh,C#4 F4 A4 B4
G-Messiaen's truncated mode 6,C#4 F4 G4 B4
G#-flat-ninth pentachord,C#4 F4 G#4 B4 D4
enharmonic to dominant seventh above C#,C#4 F4 G#4 B4
G#-quartal tetramirror,C#4 F#4 G#4 B4
enharmonic equivalent to dominant-ninth above C#,C#4 F4 G#4 B4 E-4
C#-major pentatonic,C#4 F#4 G#4 B4 E-4
F-perfect-fourth major tetrachord,C#4 F4 G#4 F#4
F-perfect-fourth major tetrachord,C#4 F4 F#4 G#4
F-augmented major tetrachord,C#4 F4 A4 C4
C#-quartal trichord,C#4 E-4 G#4
F#-quartal trichord,C#4 F#4 G#4
C#-quartal tetramirror,C#4 F#4 G#4 E-4
C#-quartal tetramirror,E-4 G#4 B-4 C#4
C#-major pentatonic,E-4 G#4 B-4 C#4 F4
enharmonic to dominant seventh above Eb,E-4 F#4 A4 B4
F#-diminished seventh,E-4 F#4 A4 C4
enharmonic equivalent to half-diminished seventh above Eb,E-4 F#4 B-4 C4
C-Kumoi pentachord,E-4 F#4 B-4 C4 F4
C#-major-second major tetrachord,E-4 F#4 B4 C#4
enharmonic equivalent to half-diminished seventh above Eb,E-4 F#4 A4 C#4
C#-major pentatonic,E-4 F#4 B-4 C#4 G#4
F#-diminished-major ninth,E-4 F#4 A4 C#4 E4
Eb-perfect-fourth minor tetrachord,E-4 F#4 G#4 B-4
Eb-major-second minor tetrachord,E-4 F#4 B-4 F4
Bb-minor-augmented tetrachord,E-4 F#4 B-4 D4
Eb-enigmatic pentachord,E-4 F#4 B-4 D4 G#4
Eb-quartal trichord,E-4 F4 B-4
Eb-quartal trichord,E-4 G#4 B-4
Eb-quartal tetramirror,E-4 G#4 B-4 F4
enharmonic to dominant seventh above F,F4 G#4 B4 C#4
G#-diminished seventh,F4 G#4 B4 D4
enharmonic equivalent to half-diminished seventh above F,F4 G#4 C4 D4
D-Kumoi pentachord,F4 G#4 C4 D4 G4
C#-major-second major tetrachord,F4 G#4 C#4 E-4
enharmonic equivalent to half-diminished seventh above F,F4 G#4 B4 E-4
C-major pentatonic,F4 G#4 C4 E-4 B-4
Eb-diminished-major ninth,F4 G#4 B4 E-4 F#4
G#-perfect-fourth minor tetrachord,F4 G#4 B-4 C4
F-major-second minor tetrachord,F4 G#4 C4 G4
C-minor-augmented tetrachord,F4 G#4 C4 E4
C-enigmatic pentachord,F4 G#4 C4 E4 B-4
G#-major-second major tetrachord,F#4 B-4 C#4 G#4
enharmonic equivalent to minor seventh above F#,F#4 B-4 C#4 E-4
C#-major pentatonic,F#4 B-4 C#4 E-4 G#4
C#-augmented-sixth pentachord,F#4 B-4 C#4 E4 C4
Bb-augmented seventh,F#4 B-4 D4 E4
C-Messiaen's truncated mode 6,F#4 B-4 C4 E4
C#-flat-ninth pentachord,F#4 B-4 C#4 E4 G4
enharmonic to dominant seventh above F#,F#4 B-4 C#4 E4
C#-quartal tetramirror,F#4 B4 C#4 E4
enharmonic equivalent to dominant-ninth above F#,F#4 B-4 C#4 E4 G#4
C#-major pentatonic,F#4 B4 C#4 E4 G#4
Bb-perfect-fourth major tetrachord,F#4 B-4 C#4 B4
Bb-perfect-fourth major tetrachord,F#4 B-4 B4 C#4
Bb-augmented major tetrachord,F#4 B-4 D4 F4
F#-quartal trichord,F#4 G#4 C#4
B-quartal trichord,F#4 B4 C#4
G#-quartal tetramirror,F#4 B4 C#4 G#4
C-major-second major tetrachord,G#4 C4 E-4 B-4
enharmonic equivalent to minor seventh above G#,G#4 C4 E-4 F4
C-major pentatonic,G#4 C4 E-4 F4 B-4
C-augmented-sixth pentachord,G#4 C4 E-4 F#4 D4
C-augmented seventh,G#4 C4 E4 F#4
D-Messiaen's truncated mode 6,G#4 C4 D4 F#4
F#-flat-ninth pentachord,G#4 C4 E-4 F#4 A4
C#-quartal tetramirror,G#4 C#4 E-4 F#4
C#-major pentatonic,G#4 C#4 E-4 F#4 B-4
C-perfect-fourth major tetrachord,G#4 C4 E-4 C#4
C-perfect-fourth major tetrachord,G#4 C4 C#4 E-4
C-augmented major tetrachord,G#4 C4 E4 G4
enharmonic equivalent to major seventh above G#,G#4 C4 E-4 G4
enharmonic equivalent to major-ninth above G#,G#4 C4 E-4 G4 B-4
Eb-quartal trichord,G#4 B-4 E-4
C#-quartal trichord,G#4 C#4 E-4
C#-quartal tetramirror,G#4 C#4 E-4 B-4
Eb-quartal tetramirror,B-4 E-4 F4 G#4
C-major pentatonic,B-4 E-4 F4 G#4 C4
enharmonic to dominant seventh above Bb,B-4 C#4 E4 F#4
C#-diminished seventh,B-4 C#4 E4 G4
enharmonic equivalent to half-diminished seventh above Bb,B-4 C#4 F4 G4
G-Kumoi pentachord,B-4 C#4 F4 G4 C4
G#-major-second major tetrachord,B-4 C#4 F#4 G#4
enharmonic equivalent to half-diminished seventh above Bb,B-4 C#4 E4 G#4
C#-major pentatonic,B-4 C#4 F4 G#4 E-4
C#-diminished-major ninth,B-4 C#4 E4 G#4 B4
C#-perfect-fourth minor tetrachord,B-4 C#4 E-4 F4
Bb-major-second minor tetrachord,B-4 C#4 F4 C4
F-minor-augmented tetrachord,B-4 C#4 F4 A4
F-enigmatic pentachord,B-4 C#4 F4 A4 E-4
Bb-quartal trichord,B-4 C4 F4
Eb-quartal trichord,B-4 E-4 F4
C-quartal tetramirror,B-4 E-4 F4 C4
enharmonic to dominant seventh above C,C4 E-4 F#4 G#4
F#-diminished seventh,C4 E-4 F#4 A4
A-half-diminished seventh,C4 E-4 G4 A4
A-Kumoi pentachord,C4 E-4 G4 A4 D4
C-major-second major tetrachord,C4 E-4 G#4 B-4
C-minor seventh,C4 E-4 G4 B-4
C-major pentatonic,C4 E-4 G4 B-4 F4
C-minor-ninth,C4 E-4 G4 B-4 D4
C-perfect-fourth minor tetrachord,C4 E-4 F4 G4
C-major-second minor tetrachord,C4 E-4 G4 D4
C-minor-augmented tetrachord,C4 E-4 G4 B4
C-enigmatic pentachord,C4 E-4 G4 B4 F4
D-major,F#3 D4 A3 D2
E-major,G#3 E4 B3 E2
enharmonic equivalent to major above B,B4 E-4 F#4
enharmonic equivalent to major above F#,F#3 C#4 B-3 F#2
A-major,E3 A3 C#4 A2
enharmonic equivalent to minor above F,F3 G#3 C4 F2
D-major,A3 D4 F#3 D2
A-major,C#4 A3 E3 A2
F-incomplete half-diminished seventh,C#4 F4 G3
enharmonic equivalent to major above F#,C#3 F#3 B-3 F#2
Eb-quartal trichord,G#4 E-4 B-3
enharmonic equivalent to minor above Bb,B-3 C#4 F4 B-2
F#-quartal trichord,C#4 F#4 G#3
enharmonic equivalent to major above F#,B-3 C#4 F#4 F#2
enharmonic equivalent to minor seventh above G#,G#3 C4 F4 E-4 G#2
Eb-major seventh,E-4 G4 B-4 D4
enharmonic equivalent to major above F#,B-3 C#4 F#3 F#2
enharmonic equivalent to major above F#,C#4 F#4 B-3 F#2
A-major,E4 C#4 A3 A2
enharmonic equivalent to major above B,F#3 B3 E-4 B2
enharmonic equivalent to minor above Eb,F#3 E-4 B-3 E-2
enharmonic equivalent to major above G#,E-3 G#3 C3 G#2
C#-quartal trichord,C#4 E-3 G#3
enharmonic equivalent to major above B,E-4 B3 F#3 B2
enharmonic equivalent to minor above Bb,C#4 B-3 F3 B-2
enharmonic equivalent to diminished above C,F#3 C4 E-3 C2
enharmonic equivalent to minor above F,C4 F4 G#3 F2
enharmonic equivalent to minor above Bb,F3 C#4 B-3 B-2
enharmonic equivalent to major above B,E-3 F#3 B3 B2
enharmonic equivalent to minor above Eb,B-3 E-4 F#3 E-2
enharmonic equivalent to minor above F,F3 C4 G#3 F2
enharmonic equivalent to minor above Bb,C#4 F4 B-3 B-2
enharmonic equivalent to major above F#,F#3 B-3 C#4 F#2
enharmonic equivalent to major above F#,C#4 F#3 B-3 F#2
Perfect Fifth with octave doublings above C#,C#4 G#4
enharmonic equivalent to minor above F,G#3 C4 F3 F2
Perfect Fifth with octave doublings above Eb,E-4 B-4
G-minor,B-3 D4 G3 G2
Perfect Fourth with octave doublings above F#,F#4 C#4
enharmonic equivalent to minor above Bb,C#4 F3 B-3 B-2
Augmented Third with octave doublings above G#,G#4 E-4
C-minor,E-4 C4 G3 C2
enharmonic to dominant seventh above G#,G#3 C4 E-4 F#4 G#2
Bb-major-second major tetrachord,C4 B-3 D4 F3 B-2
enharmonic equivalent to major seventh above B,E-4 F#4 B-4 B3 B2
enharmonic equivalent to minor above Bb,C#3 F3 B-3 B-2
C-major-second major tetrachord,E-4 B-3 C4 G#3 G#2
enharmonic equivalent to major seventh above C#,C4 C#4 F3 G#3
enharmonic equivalent to major seventh above C#,C#3 C4 F3 G#3 C#2
Eb-quartal trichord,E-3 F3 B-3 B-2
enharmonic to dominant seventh above G#,E-4 F#4 C4 G#3 G#2
enharmonic equivalent to minor seventh above F,C4 E-4 F3 G#3 F2
enharmonic equivalent to minor seventh above Eb,B-3 C#4 E-4 F#4 E-2
enharmonic to dominant seventh above G#,E-4 F#3 C4 G#3 G#2
enharmonic equivalent to major above C#,C#4 G#3 F4
enharmonic equivalent to minor seventh above Bb,C#4 F4 B-3 G#4 B-2
Eb-quartal trichord,F3 E-4 B-3 B-2
enharmonic equivalent to minor above Bb,B-3 C#4 F3 B-2
enharmonic equivalent to major above C#,C#4 F3 G#3
A-major,C#4 E4 A3 A2
enharmonic equivalent to minor above Eb,E-4 F#3 B-3
enharmonic equivalent to diminished above G,B-3 C#4 G4 G2
enharmonic to dominant seventh above G#,C4 E-4 F#4 G#3 G#2
enharmonic equivalent to major above B,B3 E-4 F#4 B2
enharmonic equivalent to major above B,E-4 F#4 B3 B2
enharmonic equivalent to minor above F,C3 F3 G#3 F2
enharmonic equivalent to minor above F,F4 G#3 C4
Eb-quartal trichord,E-3 G#3 B-3 G#2
Eb-quartal trichord,G#4 B-3 E-4
enharmonic equivalent to minor above Bb,F3 B-3 C#4 B-2
F#-quartal trichord,C#4 F#3 G#3
F#-quartal trichord,C#3 F#3 G#3 C#2
enharmonic equivalent to minor seventh above G#,C4 F4 G#3 E-4 G#2
enharmonic equivalent to minor seventh above G#,C4 E-4 F4 G#3 G#2
Eb-major seventh,E-4 G4 B-3 D4
Eb-major seventh,E-4 G4 D4 B-3
enharmonic equivalent to minor above Eb,E-3 F#3 B-3 E-2
C#-quartal trichord,C#3 E-3 G#3 C#2
C#-quartal trichord,C#4 E-4 G#3
enharmonic equivalent to diminished above C,C3 E-3 F#3 C2
enharmonic equivalent to diminished above C,C4 E-4 F#3
Perfect Fourth with octave doublings above C#,C#4 G#3
Perfect Fourth with octave doublings above Eb,E-4 B-3
Perfect Fifth with octave doublings above F#,F#3 C#4 F#2
Perfect Fifth with octave doublings above F#,C#4 F#3 F#2
enharmonic equivalent to minor above Bb,C#4 B-3 F4 B-2
Diminished Sixth with octave doublings above G#,G#3 E-4 G#2
Diminished Sixth with octave doublings above G#,E-4 G#3 G#2
C-minor,E-3 C4 G3 C2
C-minor,C3 E-3 G3 C2
C-minor,C4 E-4 G4
